City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
139,Kloulklubed,PW,75.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
140,Koscierzyna,PL,51.51,overcast clouds,54.1223,17.9812,Bazuny Hotel & SPA Kaszuby
141,Chuy,UY,60.08,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
142,Cerrito,CO,61.36,overcast clouds,6.8432,-72.694,Yariseth juliana
143,Pokhara,NP,68.13,few clouds,28.2333,83.9833,OYO 170 Hotel View Point
147,Manyana,BW,78.94,clear sky,-23.4,21.7167,
151,Truth Or Consequences,US,76.91,clear sky,33.1284,-107.2528,Charles Hot Springs
152,Vaitape,PF,77.49,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
153,Coihaique,CL,57.15,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
155,Karratha,AU,70.92,clear sky,-20.7377,116.8463,ibis Styles Karratha
157,Pandan,PH,79.95,clear sky,14.0453,124.1694,Bonifacio Lodge
158,Port Hedland,AU,69.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
159,Nara,JP,68.5,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
160,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Hotel San Juan
164,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
166,Bethel,US,63.01,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
167,Birjand,IR,68.05,clear sky,32.8663,59.2211,Birjand Tourist Hotel
168,Michigan City,US,64.9,clear sky,41.7075,-86.895,Microtel Inn & Suites by Wyndham Michigan City
170,Jiazi,CN,77.85,overcast clouds,22.8779,116.067,Hotel Jin Hao
171,High Level,CA,50.11,scattered clouds,58.5169,-117.136,Days Inn by Wyndham High Level
174,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
176,Buala,SB,79.7,light rain,-8.145,159.5921,Maringe Lagoon Lodge
179,Ciechanow,PL,53.42,overcast clouds,52.8814,20.62,Hotel ATENA
180,Killarney,IE,57.25,scattered clouds,52.05,-9.5167,Cahernane House Hotel - Killarney Hotel
182,Kanodar,IN,79.14,clear sky,24.1,72.3833,Vipul
183,Heyang,CN,65.7,broken clouds,26.1011,107.473,
184,Sept-Iles,CA,55.4,broken clouds,50.2001,-66.3821,Comfort Inn
186,Mitsamiouli,KM,75.63,scattered clouds,-11.3847,43.2844,Foyer ADM
187,Monterey,US,79.18,clear sky,36.2505,-121.2516,
188,Lompoc,US,61.21,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
189,Menongue,AO,79.66,broken clouds,-14.6585,17.691,Ritz Lauca
190,Wanning,CN,78.85,overcast clouds,18.8003,110.3967,Paradise Hotel
191,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
194,Constitucion,CL,61.3,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
196,Torata,PE,68.76,clear sky,-17.0769,-70.8433,Lodging Sra. Tina Vera
197,Yulara,AU,67.6,light rain,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
198,Esperance,AU,50.11,scattered clouds,-33.8667,121.9,Hospitality Esperance
200,Ewo,CG,73.15,moderate rain,-0.8725,14.8206,Residence Elonda Ewo
201,Antanifotsy,MG,52.83,clear sky,-19.65,47.3167,Ilempona
202,Butajira,ET,58.55,light rain,8.1167,38.3667,እናት መናፈሻ ( Enat Menafesha)
203,Noumea,NC,67.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
212,Jackson,US,63.91,clear sky,42.4165,-122.8345,Agate Village Apartments
214,Najran,SA,79.45,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
215,Katsuura,JP,72.1,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
217,Samarinda,ID,75.0,scattered clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
